Date,usdPRICE,usdopen,usdhigh,usdlow,Change ,Price,Open,High,Low
05 01 2014,77.77,77.53,77.78,77.52,-0.01,1.196461538,1.192769231,1.196615385,1.192615385
05 02 2014,77.75,77.52,77.77,77.5,-0.03,1.196153846,1.192615385,1.196461538,1.192307692
05 05 2014,77.8,77.5,78.05,77.3,0.06,1.196923077,1.192307692,1.200769231,1.189230769
05 06 2014,77.77,77.53,77.8,77.4,-0.04,1.196461538,1.192769231,1.196923077,1.190769231
05 07 2014,77.78,77.52,77.8,77.52,0.01,1.196615385,1.192615385,1.196923077,1.192615385
05 08 2014,77.75,77.53,77.79,77.5,-0.04,1.196153846,1.192769231,1.196769231,1.192307692
05 09 2014,77.73,77.5,77.75,77.48,-0.03,1.195846154,1.192307692,1.196153846,1.192
05 12 2014,77.7,77.5,77.79,77.45,-0.04,1.195384615,1.192307692,1.196769231,1.191538462
05 13 2014,77.67,77.45,77.7,77.42,-0.04,1.194923077,1.191538462,1.195384615,1.191076923
05 14 2014,77.78,77.42,77.79,77.42,0.14,1.196615385,1.191076923,1.196769231,1.191076923
05 15 2014,77.68,77.53,77.78,77.43,-0.13,1.195076923,1.192769231,1.196615385,1.191230769
05 16 2014,77.65,77.43,77.68,77.4,-0.04,1.194615385,1.191230769,1.195076923,1.190769231
05 19 2014,77.57,77.4,77.65,77.32,-0.1,1.193384615,1.190769231,1.194615385,1.189538462
05 20 2014,77.67,77.32,77.7,77.32,0.13,1.194923077,1.189538462,1.195384615,1.189538462
05 21 2014,77.69,77.42,77.7,77.42,0.03,1.195230769,1.191076923,1.195384615,1.191076923
05 22 2014,77.67,77.44,77.7,77.42,-0.03,1.194923077,1.191384615,1.195384615,1.191076923
05 23 2014,77.65,77.42,77.67,77.4,-0.03,1.194615385,1.191076923,1.194923077,1.190769231
05 26 2014,77.63,77.45,77.7,77.38,-0.03,1.194307692,1.191538462,1.195384615,1.190461538
05 27 2014,77.6,77.38,77.65,77.35,-0.04,1.193846154,1.190461538,1.194615385,1.19
05 28 2014,77.57,77.35,77.6,77.32,-0.04,1.193384615,1.19,1.193846154,1.189538462
05 29 2014,77.63,77.32,77.65,77.32,0.08,1.194307692,1.189538462,1.194615385,1.189538462
05 30 2014,77.61,77.38,77.63,77.36,-0.03,1.194,1.190461538,1.194307692,1.190153846
06 02 2014,77.6,77.35,77.6,77.35,-0.01,1.193846154,1.19,1.193846154,1.19
06 03 2014,77.6,77.35,77.65,77.35,0,1.193846154,1.19,1.194615385,1.19
06 04 2014,77.67,77.35,77.7,77.35,0.09,1.194923077,1.19,1.195384615,1.19
06 05 2014,77.63,77.42,77.67,77.38,-0.05,1.194307692,1.191076923,1.194923077,1.190461538
06 06 2014,77.63,77.38,77.63,77.38,0,1.194307692,1.190461538,1.194307692,1.190461538
06 09 2014,77.67,77.38,77.7,77.38,0.05,1.194923077,1.190461538,1.195384615,1.190461538
06 10 2014,77.67,77.42,77.7,77.42,0,1.194923077,1.191076923,1.195384615,1.191076923
06 11 2014,77.77,77.42,77.8,77.42,0.13,1.196461538,1.191076923,1.196923077,1.191076923
06 12 2014,77.77,77.52,77.8,77.52,0,1.196461538,1.192615385,1.196923077,1.192615385
06 13 2014,77.73,77.52,77.77,77.48,-0.05,1.195846154,1.192615385,1.196461538,1.192
06 16 2014,77.77,77.48,77.8,77.48,0.05,1.196461538,1.192,1.196923077,1.192
06 17 2014,77.78,77.52,77.8,77.52,0.01,1.196615385,1.192615385,1.196923077,1.192615385
06 18 2014,77.63,77.53,77.78,77.38,-0.19,1.194307692,1.192769231,1.196615385,1.190461538
06 19 2014,77.6,77.38,77.63,77.35,-0.04,1.193846154,1.190461538,1.194307692,1.19
06 20 2014,77.58,77.35,77.6,77.33,-0.03,1.193538462,1.19,1.193846154,1.189692308
06 23 2014,77.55,77.33,77.8,77.3,-0.04,1.193076923,1.189692308,1.196923077,1.189230769
06 24 2014,77.78,77.3,77.8,77.3,0.3,1.196615385,1.189230769,1.196923077,1.189230769
06 25 2014,77.79,77.53,77.8,77.53,0.01,1.196769231,1.192769231,1.196923077,1.192769231
06 26 2014,77.79,77.54,77.8,77.54,0,1.196769231,1.192923077,1.196923077,1.192923077
06 27 2014,77.77,77.54,77.79,77.52,-0.03,1.196461538,1.192923077,1.196769231,1.192615385
06 30 2014,77.77,77.52,77.82,77.52,0,1.196461538,1.192615385,1.197230769,1.192615385
07 01 2014,77.77,77.52,77.82,77.52,0,1.196461538,1.192615385,1.197230769,1.192615385
07 02 2014,77.78,77.52,77.82,77.52,0.01,1.196615385,1.192615385,1.197230769,1.192615385
07 03 2014,77.79,77.53,77.8,77.53,0.01,1.196769231,1.192769231,1.196923077,1.192769231
07 04 2014,77.79,77.54,77.79,77.54,0,1.196769231,1.192923077,1.196769231,1.192923077
07 07 2014,77.8,77.55,77.82,77.55,0.01,1.196923077,1.193076923,1.197230769,1.193076923
07 08 2014,77.75,77.55,77.8,77.5,-0.06,1.196153846,1.193076923,1.196923077,1.192307692
07 09 2014,77.8,77.5,77.82,77.5,0.06,1.196923077,1.192307692,1.197230769,1.192307692
07 10 2014,77.75,77.55,77.8,77.5,-0.06,1.196153846,1.193076923,1.196923077,1.192307692
07 11 2014,77.75,77.5,77.75,77.5,0,1.196153846,1.192307692,1.196153846,1.192307692
07 14 2014,77.73,77.5,77.75,77.33,-0.03,1.195846154,1.192307692,1.196153846,1.189692308
07 15 2014,77.73,77.48,77.75,77.47,0,1.195846154,1.192,1.196153846,1.191846154
07 16 2014,77.71,77.48,77.75,77.46,-0.03,1.195538462,1.192,1.196153846,1.191692308
07 17 2014,77.67,77.46,77.71,77.42,-0.05,1.194923077,1.191692308,1.195538462,1.191076923
07 18 2014,77.65,77.42,77.67,77.4,-0.03,1.194615385,1.191076923,1.194923077,1.190769231
07 21 2014,77.72,77.4,77.75,77.4,0.09,1.195692308,1.190769231,1.196153846,1.190769231
07 22 2014,77.68,77.47,77.72,77.43,-0.05,1.195076923,1.191846154,1.195692308,1.191230769
07 23 2014,77.65,77.43,77.7,77.4,-0.04,1.194615385,1.191230769,1.195384615,1.190769231
07 24 2014,77.63,77.4,77.68,77.38,-0.03,1.194307692,1.190769231,1.195076923,1.190461538
07 25 2014,77.63,77.38,77.63,77.38,0,1.194307692,1.190461538,1.194307692,1.190461538
07 28 2014,77.62,77.38,77.63,77.37,-0.01,1.194153846,1.190461538,1.194307692,1.190307692
07 29 2014,77.58,77.37,77.62,77.33,-0.05,1.193538462,1.190307692,1.194153846,1.189692308
07 30 2014,77.58,77.33,77.63,77.33,0,1.193538462,1.189692308,1.194307692,1.189692308
07 31 2014,77.57,77.33,77.67,77.32,-0.01,1.193384615,1.189692308,1.194923077,1.189538462
08 01 2014,77.55,77.32,77.57,77.3,-0.03,1.193076923,1.189538462,1.193384615,1.189230769
08 04 2014,77.65,77.3,77.67,77.3,0.13,1.194615385,1.189230769,1.194923077,1.189230769
08 05 2014,77.73,77.4,77.75,77.4,0.1,1.195846154,1.190769231,1.196153846,1.190769231
08 06 2014,77.72,77.48,77.75,77.47,-0.01,1.195692308,1.192,1.196153846,1.191846154
08 07 2014,77.7,77.47,77.73,77.45,-0.03,1.195384615,1.191846154,1.195846154,1.191538462
08 08 2014,77.68,77.45,77.72,77.43,-0.03,1.195076923,1.191538462,1.195692308,1.191230769
08 11 2014,77.71,77.43,77.73,77.43,0.04,1.195538462,1.191230769,1.195846154,1.191230769
08 12 2014,77.72,77.46,77.73,77.46,0.01,1.195692308,1.191692308,1.195846154,1.191692308
08 13 2014,77.68,77.47,77.73,77.43,-0.05,1.195076923,1.191846154,1.195846154,1.191230769
08 14 2014,77.65,77.43,77.73,77.4,-0.04,1.194615385,1.191230769,1.195846154,1.190769231
08 15 2014,77.65,77.42,77.67,77.4,0,1.194615385,1.191076923,1.194923077,1.190769231
08 18 2014,77.65,77.4,77.69,77.4,0,1.194615385,1.190769231,1.195230769,1.190769231
08 19 2014,77.67,77.4,77.69,77.4,0.03,1.194923077,1.190769231,1.195230769,1.190769231
08 20 2014,77.65,77.42,77.69,77.4,-0.03,1.194615385,1.191076923,1.195230769,1.190769231
08 21 2014,77.63,77.4,77.69,77.38,-0.03,1.194307692,1.190769231,1.195230769,1.190461538
08 22 2014,77.6,77.38,77.67,77.35,-0.04,1.193846154,1.190461538,1.194923077,1.19
08 25 2014,77.6,77.35,77.6,77.35,0,1.193846154,1.19,1.193846154,1.19
08 26 2014,77.64,77.33,77.66,77.33,0.05,1.194461538,1.189692308,1.194769231,1.189692308
08 27 2014,77.29,77.39,77.64,77.04,-0.45,1.189076923,1.190615385,1.194461538,1.185230769
08 28 2014,77.28,77.04,77.66,77.03,-0.01,1.188923077,1.185230769,1.194769231,1.185076923
08 29 2014,77.27,77.03,77.28,77.02,-0.01,1.188769231,1.185076923,1.188923077,1.184923077
09 01 2014,77.6,77.35,77.66,77.35,0.43,1.193846154,1.19,1.194769231,1.19
09 02 2014,77.6,77.35,77.6,77.02,0,1.193846154,1.19,1.193846154,1.184923077
09 03 2014,77.6,77.35,77.6,77.35,0,1.193846154,1.19,1.193846154,1.19
09 04 2014,77.6,77.35,77.6,77.35,0,1.193846154,1.19,1.193846154,1.19
09 05 2014,77.6,77.35,77.6,77.35,0,1.193846154,1.19,1.193846154,1.19
09 08 2014,77.41,77.35,77.74,77.02,-0.24,1.190923077,1.19,1.196,1.184923077
09 09 2014,77.425,77.3,77.755,77.02,0.02,1.191153846,1.189230769,1.196230769,1.184923077
09 10 2014,77.57,77.33,77.6,77.02,0.19,1.193384615,1.189692308,1.193846154,1.184923077
09 11 2014,77.58,77.32,77.6,77.32,0.01,1.193538462,1.189538462,1.193846154,1.189538462
09 12 2014,77.25,77.33,77.58,77,-0.43,1.188461538,1.189692308,1.193538462,1.184615385
09 15 2014,77.26,77,77.26,77,0.01,1.188615385,1.184615385,1.188615385,1.184615385
09 16 2014,77.425,77,77.755,77,0.21,1.191153846,1.184615385,1.196230769,1.184615385
09 17 2014,77.58,77.33,77.58,77.33,0.2,1.193538462,1.189692308,1.193538462,1.189692308
09 18 2014,77.57,77.33,77.58,77.32,-0.01,1.193384615,1.189692308,1.193538462,1.189538462
09 19 2014,77.425,77.32,77.445,77.3,-0.19,1.191153846,1.189538462,1.191461538,1.189230769
09 22 2014,77.395,77.3,77.445,77.27,-0.04,1.190692308,1.189230769,1.191461538,1.188769231
09 23 2014,77.375,77.27,77.395,77.25,-0.03,1.190384615,1.188769231,1.190692308,1.188461538
09 24 2014,77.355,77.25,77.375,77.23,-0.03,1.190076923,1.188461538,1.190384615,1.188153846
