"Date","Price","Open","High","Low","Change %"
"Sep 15, 2015","77.810","77.520","77.810","77.520","-0.06"
"Sep 14, 2015","77.855","77.750","77.875","77.730","-0.03"
"Sep 11, 2015","77.875","77.760","77.895","77.750","-0.03"
"Sep 10, 2015","77.895","77.760","77.915","77.730","0.05"
"Sep 09, 2015","77.855","77.740","77.875","77.720","-0.03"
"Sep 08, 2015","77.880","77.740","77.880","77.740","0.02"
"Sep 07, 2015","77.865","77.750","77.875","77.740","-0.01"
"Sep 04, 2015","77.875","77.730","77.875","77.730","0.03"
"Sep 03, 2015","77.855","77.730","77.895","77.730","0.00"
"Sep 02, 2015","77.855","77.750","77.895","77.730","-0.03"
"Sep 01, 2015","77.875","77.750","77.875","77.730","0.00"
"Aug 31, 2015","77.875","77.780","77.905","77.730","-0.04"
"Aug 28, 2015","77.905","77.740","77.905","77.730","0.06"
"Aug 27, 2015","77.855","77.750","77.875","77.730","-0.03"
"Aug 26, 2015","77.875","77.750","77.915","77.730","0.00"
"Aug 25, 2015","77.875","77.730","77.875","77.720","0.03"
"Aug 24, 2015","77.855","77.720","77.915","77.720","0.01"
"Aug 21, 2015","77.845","77.750","77.875","77.720","-0.04"
"Aug 20, 2015","77.880","77.750","77.890","77.740","0.01"
"Aug 19, 2015","77.875","77.730","77.875","77.730","0.03"
"Aug 18, 2015","77.855","77.740","77.875","77.730","-0.01"
"Aug 17, 2015","77.865","77.730","77.875","77.730","0.01"
"Aug 14, 2015","77.855","77.730","77.865","77.730","0.00"
"Aug 13, 2015","77.855","77.720","77.875","77.720","0.01"
"Aug 12, 2015","77.845","77.690","77.875","77.690","0.00"
"Aug 11, 2015","77.845","77.730","77.855","77.690","-0.01"
"Aug 10, 2015","77.855","77.740","77.865","77.730","-0.01"
"Aug 07, 2015","77.865","77.750","77.875","77.740","-0.01"
"Aug 06, 2015","77.875","77.780","77.915","77.750","-0.04"
"Aug 05, 2015","77.905","77.750","77.915","77.740","0.04"
"Aug 04, 2015","77.875","77.770","77.895","77.740","-0.03"
"Aug 03, 2015","77.895","77.750","77.915","77.750","0.03"
"Jul 31, 2015","77.875","77.730","77.915","77.730","0.03"
"Jul 30, 2015","77.855","77.650","77.915","77.600","0.04"
"Jul 29, 2015","77.825","77.630","77.835","77.630","0.09"
"Jul 28, 2015","77.755","77.630","77.915","77.630","0.00"
"Jul 27, 2015","77.755","77.720","77.885","77.530","0.01"
"Jul 24, 2015","77.750","77.700","77.810","77.680","-0.13"
"Jul 23, 2015","77.850","77.720","77.900","77.680","0.01"
"Jul 22, 2015","77.845","77.630","77.915","77.630","0.12"
"Jul 21, 2015","77.755","77.670","77.925","77.620","-0.05"
"Jul 20, 2015","77.795","77.690","78.235","77.670","-0.03"
"Jul 17, 2015","77.815","77.720","77.865","77.680","-0.04"
"Jul 16, 2015","77.845","77.690","77.875","77.680","0.04"
"Jul 15, 2015","77.815","77.700","77.955","77.680","-0.01"
"Jul 14, 2015","77.825","77.700","78.365","77.680","0.00"
"Jul 13, 2015","77.825","77.730","77.915","77.640","-0.04"
"Jul 10, 2015","77.855","77.750","77.875","77.580","-0.03"
"Jul 09, 2015","77.875","77.630","77.875","77.270","0.08"
"Jul 08, 2015","77.815","77.750","77.835","77.630","-0.08"
"Jul 07, 2015","77.875","77.700","77.915","77.700","0.03"
"Jul 06, 2015","77.850","77.740","78.480","77.700","-0.02"
"Jul 03, 2015","77.865","77.730","77.895","77.620","0.01"
"Jul 02, 2015","77.855","77.740","78.345","77.730","0.07"
"Jul 01, 2015","77.800","77.730","78.140","77.730","-0.07"
"Jun 30, 2015","77.855","77.730","77.915","77.110","0.00"
"Jun 29, 2015","77.855","77.720","78.605","77.720","0.01"
"Jun 26, 2015","77.845","77.680","77.905","77.680","0.05"
"Jun 25, 2015","77.805","77.730","77.905","77.680","-0.06"
"Jun 24, 2015","77.855","77.740","77.895","77.720","-0.01"
"Jun 23, 2015","77.865","77.730","77.885","77.720","0.04"
"Jun 22, 2015","77.835","77.730","77.865","77.720","-0.03"
"Jun 19, 2015","77.855","77.730","78.005","77.710","0.00"
"Jun 18, 2015","77.855","77.700","77.885","77.660","0.10"
"Jun 17, 2015","77.780","77.660","77.880","77.660","-0.10"
"Jun 16, 2015","77.855","77.680","77.885","77.650","0.06"
"Jun 15, 2015","77.805","77.650","77.875","77.360","0.04"
"Jun 12, 2015","77.775","77.680","77.805","77.650","-0.04"
"Jun 11, 2015","77.805","77.750","77.875","77.660","-0.09"
"Jun 10, 2015","77.875","77.700","77.885","77.660","0.06"
"Jun 09, 2015","77.825","77.650","77.875","77.650","0.06"
"Jun 08, 2015","77.780","77.750","77.880","77.650","-0.12"
"Jun 05, 2015","77.875","77.750","77.875","77.730","0.00"
"Jun 04, 2015","77.875","77.750","77.875","77.730","0.00"
"Jun 03, 2015","77.875","77.750","77.875","77.730","0.00"
"Jun 02, 2015","77.875","77.750","77.875","77.730","0.00"
"Jun 01, 2015","77.875","77.750","77.875","77.730","0.00"
"May 29, 2015","77.875","77.750","77.875","77.730","0.00"
"May 28, 2015","77.875","77.730","78.125","77.720","0.00"
"May 27, 2015","77.875","77.720","77.875","77.720","0.04"
"May 26, 2015","77.845","77.750","77.875","77.720","-0.04"
"May 25, 2015","77.875","77.750","77.875","77.730","0.00"
"May 22, 2015","77.875","77.750","77.875","77.720","0.00"
"May 21, 2015","77.875","77.750","77.875","77.730","0.00"
"May 20, 2015","77.875","77.730","77.875","77.730","0.03"
"May 19, 2015","77.855","77.730","77.875","77.730","0.00"
"May 18, 2015","77.855","77.770","77.925","77.730","-0.05"
"May 15, 2015","77.895","77.800","77.925","77.770","-0.04"
"May 14, 2015","77.925","77.730","77.925","77.730","0.09"
"May 13, 2015","77.855","77.750","77.875","77.730","-0.03"
"May 12, 2015","77.875","77.750","77.875","77.730","0.00"
"May 11, 2015","77.875","77.800","77.925","77.730","-0.06"
"May 08, 2015","77.925","77.750","77.925","77.750","0.06"
"May 07, 2015","77.875","77.780","77.905","77.750","-0.04"
"May 06, 2015","77.905","77.800","77.925","77.750","-0.03"
"May 05, 2015","77.925","77.800","77.925","77.750","0.00"
"May 04, 2015","77.925","77.780","77.925","77.780","0.03"
"May 01, 2015","77.905","77.800","77.925","77.780","-0.03"
"Apr 30, 2015","77.925","77.780","77.925","77.770","0.03"
"Apr 29, 2015","77.905","77.800","77.925","77.750","-0.03"
"Apr 28, 2015","77.925","77.800","77.925","77.780","0.03"
"Apr 27, 2015","77.905","77.780","77.925","77.780","0.00"
"Apr 24, 2015","77.905","77.780","77.905","77.770","0.00"
"Apr 23, 2015","77.905","77.780","77.925","77.780","0.00"
"Apr 22, 2015","77.905","77.780","77.925","77.780","0.00"
"Apr 21, 2015","77.905","77.780","77.925","77.780","0.00"
"Apr 20, 2015","77.905","77.730","77.925","77.730","0.06"
"Apr 17, 2015","77.855","77.740","77.875","77.730","-0.01"
"Apr 16, 2015","77.865","77.780","77.905","77.740","-0.05"
"Apr 15, 2015","77.905","77.800","77.925","77.750","-0.03"
"Apr 14, 2015","77.925","77.780","77.925","77.780","0.03"
"Apr 13, 2015","77.905","77.780","77.925","77.750","0.00"
"Apr 10, 2015","77.905","77.800","77.925","77.780","-0.03"
"Apr 09, 2015","77.925","77.800","77.925","77.650","0.00"
"Apr 08, 2015","77.925","77.800","77.925","77.780","0.00"
"Apr 07, 2015","77.925","77.800","77.925","77.780","0.00"
"Apr 06, 2015","77.925","77.800","77.925","77.780","0.00"
"Apr 03, 2015","77.925","77.780","77.925","77.780","0.03"
"Apr 02, 2015","77.905","77.800","77.925","77.780","-0.03"
"Apr 01, 2015","77.925","77.800","77.925","77.780","0.00"
"Mar 31, 2015","77.925","77.800","77.925","77.780","0.00"
"Mar 30, 2015","77.925","77.800","77.925","77.800","0.00"
"Mar 27, 2015","77.925","77.800","77.925","77.780","0.00"
"Mar 26, 2015","77.925","77.800","77.925","77.780","0.00"
"Mar 25, 2015","77.925","77.800","77.925","77.780","0.00"
"Mar 24, 2015","77.925","77.800","77.925","77.780","0.00"
"Mar 23, 2015","77.925","77.800","77.925","77.780","0.00"
"Mar 20, 2015","77.925","77.780","77.925","77.780","0.03"
"Mar 19, 2015","77.905","77.800","77.925","77.780","-0.03"
"Mar 18, 2015","77.925","77.800","77.925","77.780","0.00"
"Mar 17, 2015","77.925","77.800","77.925","77.780","0.00"
"Mar 16, 2015","77.925","77.800","77.925","77.780","0.00"
"Mar 13, 2015","77.925","77.800","77.925","77.780","0.00"
"Mar 12, 2015","77.925","77.800","77.925","77.780","0.00"
"Mar 11, 2015","77.925","77.800","77.925","77.780","0.00"
"Mar 10, 2015","77.925","77.650","77.925","77.650","0.19"
"Mar 09, 2015","77.775","77.680","77.805","77.650","-0.04"
"Mar 06, 2015","77.805","77.700","77.825","77.680","-0.03"
"Mar 05, 2015","77.825","77.780","77.905","77.680","-0.10"
"Mar 04, 2015","77.905","77.780","77.925","77.780","0.00"
"Mar 03, 2015","77.905","77.780","77.925","77.300","0.00"
"Mar 02, 2015","77.905","77.800","77.925","77.780","-0.03"
"Feb 27, 2015","77.925","77.780","77.925","77.780","0.03"
"Feb 26, 2015","77.905","77.780","77.925","77.770","0.00"
"Feb 25, 2015","77.905","77.780","77.925","77.780","-0.03"
"Feb 24, 2015","77.925","77.780","77.925","77.780","0.03"
"Feb 23, 2015","77.905","77.800","77.925","77.770","-0.03"
"Feb 20, 2015","77.925","77.800","77.925","77.780","0.00"
"Feb 19, 2015","77.925","77.800","77.925","77.780","0.00"
"Feb 18, 2015","77.925","77.780","77.925","77.780","0.03"
"Feb 17, 2015","77.905","77.770","77.925","77.750","0.01"
"Feb 16, 2015","77.895","77.750","77.925","77.750","0.03"
"Feb 13, 2015","77.875","77.750","77.875","77.730","0.00"
"Feb 12, 2015","77.875","77.750","77.875","77.730","0.00"
"Feb 11, 2015","77.875","77.730","77.875","77.730","0.03"
"Feb 10, 2015","77.855","77.750","77.875","77.730","-0.03"
"Feb 09, 2015","77.875","77.750","77.875","77.750","0.00"
