Date,Price,Open,High,Low,Change 
09 02 2014,7.83,7.8094,7.8309,7.8044,0.25
09 03 2014,7.8049,7.8293,7.8313,7.7833,-0.32
09 04 2014,7.7879,7.804,7.8052,7.7862,-0.22
09 05 2014,7.7927,7.7869,7.8072,7.7869,0.06
09 08 2014,7.7774,7.7919,7.7942,7.7666,-0.2
09 09 2014,7.8193,7.7753,7.8283,7.7745,0.54
09 10 2014,7.8612,7.8184,7.8766,7.8181,0.54
09 11 2014,7.8615,7.8598,7.8634,7.8334,0
09 12 2014,7.8259,7.8609,7.8732,7.8233,-0.45
09 15 2014,7.8834,7.8249,7.8927,7.8243,0.73
09 16 2014,7.8776,7.8827,7.8913,7.8703,-0.07
09 17 2014,7.8594,7.8768,7.8792,7.8453,-0.23
09 18 2014,7.8365,7.8573,7.8977,7.8336,-0.29
09 19 2014,7.8518,7.8345,7.8568,7.8331,0.2
09 22 2014,7.8625,7.8499,7.8627,7.8358,0.14
09 23 2014,7.8763,7.8604,7.8768,7.8511,0.18
09 24 2014,7.8619,7.8741,7.878,7.8541,-0.18
09 25 2014,7.9101,7.8597,7.9211,7.8582,0.61
09 26 2014,7.8818,7.9093,7.9453,7.8652,-0.36
09 29 2014,7.9236,7.8814,7.936,7.8735,0.53
09 30 2014,7.9767,7.9214,7.9779,7.921,0.67
10 01 2014,7.9495,7.9748,7.9805,7.9322,-0.34
10 02 2014,7.9292,7.9474,7.9508,7.9222,-0.26
10 03 2014,7.9288,7.9272,7.9354,7.9257,-0.01
10 06 2014,7.936,7.928,7.9369,7.928,0.09
10 07 2014,7.9055,7.9346,7.9381,7.9002,-0.38
10 08 2014,7.91,7.903,7.9314,7.9013,0.06
10 09 2014,7.8718,7.9088,7.9125,7.851,-0.48
10 10 2014,7.8994,7.8697,7.9086,7.8683,0.35
10 13 2014,7.8642,7.8964,7.9034,7.8607,-0.45
10 14 2014,7.9153,7.862,7.9262,7.8539,0.65
10 15 2014,7.9134,7.9132,7.9184,7.894,-0.02
10 16 2014,7.9706,7.9117,7.9846,7.9101,0.72
10 17 2014,7.9103,7.9697,7.9731,7.9066,-0.76
10 20 2014,7.8936,7.9078,7.9128,7.8851,-0.21
10 21 2014,7.884,7.8914,7.9133,7.8777,-0.12
10 22 2014,7.8894,7.8819,7.905,7.8637,0.07
10 23 2014,7.8855,7.8872,7.8907,7.875,-0.05
10 24 2014,7.8856,7.884,7.886,7.8825,0
10 27 2014,7.9028,7.8835,7.912,7.883,0.22
10 28 2014,7.8876,7.9007,7.9183,7.8821,-0.19
10 29 2014,7.9035,7.8854,7.9148,7.885,0.2
10 30 2014,7.9228,7.9008,7.9369,7.9,0.24
10 31 2014,7.9182,7.9207,7.9454,7.9014,-0.06
11 03 2014,7.9219,7.9154,7.9313,7.9061,0.05
11 04 2014,7.9195,7.9203,7.9229,7.9064,-0.03
11 05 2014,7.9253,7.9174,7.9389,7.9048,0.07
11 06 2014,7.9325,7.9231,7.9345,7.9204,0.09
11 07 2014,7.935,7.931,7.9584,7.9219,0.03
11 10 2014,7.9277,7.9328,7.9402,7.9161,-0.09
11 11 2014,7.9324,7.9255,7.9509,7.9252,0.06
11 12 2014,7.9148,7.931,7.9405,7.9119,-0.22
11 13 2014,7.9434,7.9129,7.949,7.9121,0.36
11 14 2014,7.9585,7.9422,7.9775,7.9364,0.19
11 17 2014,7.9732,7.957,7.9735,7.946,0.18
11 18 2014,7.9594,7.9717,7.9803,7.9554,-0.17
11 19 2014,7.9875,7.9579,7.9953,7.9573,0.35
11 20 2014,7.9841,7.9854,8.0239,7.9778,-0.04
11 21 2014,7.9615,7.9827,7.9848,7.9595,-0.28
11 24 2014,7.9761,7.9614,7.99,7.9475,0.18
11 25 2014,7.9779,7.9746,7.9994,7.9721,0.02
11 26 2014,7.9694,7.9758,7.9836,7.9655,-0.11
