Date,Price,Open,High,Low,Change
01 27 2015,17.056,16.996,17.08,16.995,0.4
01 28 2015,16.959,17.045,17.056,16.917,-0.57
01 29 2015,17.0275,16.934,17.0765,16.866,0.4
01 30 2015,17.083,17.019,17.087,16.994,0.33
02 02 2015,17,17.069,17.101,16.97,-0.49
02 03 2015,16.966,16.991,17.036,16.948,-0.2
02 04 2015,17.38,16.956,17.399,16.956,2.44
02 05 2015,17.2815,17.369,17.3935,17.216,-0.57
02 06 2015,17.497,17.27,17.512,17.27,1.25
02 09 2015,17.45,17.51,17.532,17.381,-0.27
02 10 2015,17.412,17.44,17.467,17.281,-0.22
02 11 2015,17.34,17.402,17.424,17.234,-0.41
02 12 2015,17.233,17.33,17.348,17.182,-0.62
02 13 2015,17.342,17.22,17.393,17.22,0.63
02 16 2015,17.345,17.343,17.454,17.331,0.02
02 17 2015,17.34,17.335,17.381,17.29,-0.03
02 18 2015,17.1405,17.331,17.3485,17.112,-1.15
02 19 2015,17.1625,17.128,17.1715,17.118,0.13
02 20 2015,17.1545,17.149,17.2045,17.14,-0.05
02 23 2015,17.1035,17.185,17.1995,17.03,-0.3
02 24 2015,17.0725,17.096,17.1795,17.035,-0.18
02 25 2015,17.1645,17.077,17.2165,17.077,0.54
02 26 2015,17.226,17.159,17.292,17.129,0.36
02 27 2015,17.0755,17.22,17.2325,17.065,-0.87
03 02 2015,17.035,17.083,17.093,16.957,-0.24
03 03 2015,17.0535,17.025,17.1055,17.001,0.11
03 04 2015,17.09,17.046,17.112,16.97,0.21
03 05 2015,17.091,17.08,17.104,16.986,0.01
03 06 2015,17.098,17.082,17.112,17.033,0.04
03 09 2015,17.0295,17.09,17.1035,16.913,-0.4
03 10 2015,16.9445,17.024,17.0445,16.916,-0.5
03 11 2015,16.9745,16.936,16.9865,16.858,0.18
03 12 2015,16.9465,16.964,17.0715,16.901,-0.16
03 13 2015,17.103,16.942,17.114,16.883,0.92
03 16 2015,16.945,17.095,17.104,16.934,-0.92
03 17 2015,16.937,16.935,17.01,16.923,-0.05
03 18 2015,16.9115,16.934,16.9965,16.877,-0.15
03 19 2015,16.8685,16.918,17.1635,16.857,-0.25
03 20 2015,16.727,16.846,16.868,16.714,-0.84
03 23 2015,16.837,16.728,16.923,16.728,0.66
03 24 2015,17.0885,16.838,17.1085,16.838,1.49
03 25 2015,17.0245,17.078,17.0955,16.968,-0.37
03 26 2015,17.1755,17.02,17.1775,16.949,0.89
03 27 2015,16.967,17.151,17.163,16.92,-1.21
03 30 2015,16.8355,16.958,16.9715,16.807,-0.78
03 31 2015,16.8195,16.827,16.9265,16.803,-0.1
04 01 2015,16.7995,16.81,16.9445,16.788,-0.12
04 02 2015,16.9095,16.796,16.9625,16.794,0.65
04 03 2015,16.883,16.903,16.978,16.864,-0.16
04 06 2015,17.13,16.892,17.173,16.892,1.46
04 07 2015,17.133,17.12,17.179,17.067,0.02
04 08 2015,17.141,17.125,17.17,17.069,0.05
04 09 2015,17.1715,17.13,17.1795,17.069,0.18
04 10 2015,16.9825,17.16,17.1755,16.955,-1.1
04 13 2015,16.8375,16.948,16.9775,16.803,-0.85
04 14 2015,16.8265,16.829,16.9035,16.802,-0.07
04 15 2015,16.8335,16.824,16.8615,16.757,0.04
04 16 2015,17.0475,16.822,17.1025,16.821,1.27
04 17 2015,17.253,17.038,17.253,17.036,1.21
04 20 2015,17.434,17.244,17.442,17.196,1.05
04 21 2015,17.282,17.425,17.441,17.223,-0.87
04 22 2015,17.444,17.279,17.446,17.26,0.94
04 23 2015,17.4485,17.43,17.4905,17.329,0.03
04 24 2015,17.7655,17.44,17.7765,17.437,1.82
04 27 2015,17.759,17.78,17.888,17.749,-0.04
04 28 2015,17.734,17.761,17.861,17.71,-0.14
04 29 2015,17.8285,17.723,17.8405,17.689,0.53
04 30 2015,17.833,17.812,17.945,17.756,0.03
05 01 2015,17.8865,17.818,17.8865,17.809,0.3
05 04 2015,17.829,17.863,17.878,17.814,-0.32
05 05 2015,17.549,17.827,17.888,17.526,-1.57
05 06 2015,17.8125,17.543,17.8315,17.536,1.5
05 07 2015,17.8275,17.803,17.8885,17.723,0.08
05 08 2015,17.715,17.817,17.851,17.689,-0.63
05 11 2015,17.78,17.703,17.784,17.649,0.37
05 12 2015,17.737,17.769,17.804,17.639,-0.24
05 13 2015,17.7915,17.727,17.8725,17.727,0.31
05 14 2015,17.6975,17.781,17.9115,17.686,-0.53
05 15 2015,17.8,17.693,17.863,17.686,0.58
05 18 2015,17.8505,17.788,17.8615,17.711,0.28
05 19 2015,17.754,17.847,17.864,17.672,-0.54
05 20 2015,17.598,17.749,17.767,17.576,-0.88
05 21 2015,17.67,17.591,17.707,17.585,0.41
05 22 2015,17.7175,17.658,17.7595,17.658,0.27
05 25 2015,17.565,17.713,17.765,17.553,-0.86
05 26 2015,17.635,17.554,17.648,17.553,0.4
05 27 2015,17.552,17.628,17.645,17.54,-0.47
05 28 2015,17.505,17.541,17.577,17.484,-0.27
05 29 2015,17.39,17.503,17.556,17.363,-0.66
06 01 2015,17.2645,17.377,17.4305,17.233,-0.72
06 02 2015,17.2205,17.255,17.2955,17.184,-0.25
06 03 2015,17.3625,17.213,17.4045,17.205,0.82
06 04 2015,17.304,17.347,17.398,17.281,-0.34
06 05 2015,17.1495,17.294,17.3145,17.134,-0.89
06 08 2015,16.9735,17.14,17.1495,16.944,-1.03
06 09 2015,17.072,16.964,17.093,16.964,0.58
06 10 2015,17.075,17.065,17.128,17.005,0.02
06 11 2015,17.0715,17.067,17.1355,17.045,-0.02
06 12 2015,17.05,17.069,17.155,17.014,-0.13
06 15 2015,17.0415,17.041,17.0785,17.005,-0.05
06 16 2015,17.1085,17.031,17.1545,17.017,0.39
06 17 2015,17.0305,17.099,17.1805,17.016,-0.46
06 18 2015,17.137,17.03,17.216,17.03,0.63
06 19 2015,16.972,17.125,17.186,16.936,-0.96
06 22 2015,17.021,16.966,17.071,16.964,0.29
06 23 2015,17.01,17.012,17.044,16.916,-0.06
06 24 2015,16.931,16.994,17.028,16.904,-0.46
06 25 2015,16.9035,16.92,16.9745,16.853,-0.16
06 26 2015,16.8365,16.892,16.9225,16.823,-0.4
06 29 2015,16.834,16.842,16.901,16.782,-0.01
06 30 2015,16.8465,16.823,16.9335,16.818,0.07
07 01 2015,16.9645,16.83,17.0585,16.825,0.7
07 02 2015,16.755,16.954,16.978,16.743,-1.23
07 03 2015,16.782,16.743,16.884,16.729,0.16
07 06 2015,16.6065,16.777,16.7995,16.591,-1.05
07 07 2015,16.67,16.592,16.703,16.591,0.38
07 08 2015,16.664,16.659,16.729,16.65,-0.04
07 09 2015,16.6805,16.649,16.7615,16.649,0.1
07 10 2015,16.7,16.667,16.765,16.667,0.12
07 13 2015,16.6615,16.689,16.7375,16.636,-0.23
07 14 2015,16.6175,16.644,16.7165,16.595,-0.26
07 15 2015,16.6835,16.599,16.7145,16.599,0.4
07 16 2015,16.665,16.67,16.705,16.648,-0.11
07 17 2015,16.6725,16.655,16.6875,16.624,0.05
07 20 2015,16.702,16.651,16.743,16.65,0.18
07 21 2015,16.6985,16.696,16.7515,16.679,-0.02
07 22 2015,16.754,16.683,16.798,16.663,0.33
07 23 2015,16.7925,16.737,16.7945,16.704,0.23
07 24 2015,16.8255,16.78,16.8525,16.755,0.2
07 27 2015,16.805,16.83,16.863,16.761,-0.12
07 28 2015,16.7205,16.798,16.8505,16.695,-0.5
07 29 2015,16.726,16.707,16.787,16.697,0.03
07 30 2015,16.7925,16.711,16.8155,16.709,0.4
07 31 2015,16.7555,16.777,16.8345,16.705,-0.22
08 03 2015,16.6565,16.74,16.7805,16.58,-0.59
08 04 2015,16.553,16.64,16.66,16.503,-0.62
08 05 2015,16.421,16.535,16.572,16.4,-0.8
08 06 2015,16.316,16.408,16.433,16.289,-0.64
08 07 2015,16.231,16.307,16.335,16.207,-0.52
08 10 2015,16.1995,16.217,16.2775,16.179,-0.19
08 11 2015,16.239,16.184,16.254,16.14,0.24
08 12 2015,16.055,16.236,16.257,15.998,-1.13
08 13 2015,16.256,16.043,16.296,16.023,1.25
08 14 2015,15.96,16.247,16.268,15.829,-1.82
08 17 2015,15.9345,15.944,15.9745,15.711,-0.16
08 18 2015,16.0335,15.915,16.0495,15.793,0.62
08 19 2015,15.8565,16.018,16.0585,15.836,-1.1
08 20 2015,15.815,15.843,15.943,15.763,-0.26
08 21 2015,15.807,15.801,15.902,15.684,-0.05
08 24 2015,15.673,15.786,15.807,15.473,-0.85
08 25 2015,15.7325,15.645,15.8025,15.565,0.38
08 26 2015,15.534,15.72,15.738,15.409,-1.26
08 27 2015,15.5885,15.514,15.7135,15.472,0.35
08 28 2015,15.7685,15.586,15.8085,15.563,1.15
08 31 2015,15.8315,15.755,15.8515,15.75,0.4
09 01 2015,15.933,15.814,16.028,15.797,0.64
09 02 2015,15.721,15.921,15.959,15.664,-1.33
09 03 2015,15.5895,15.704,15.7345,15.555,-0.84
09 04 2015,15.6595,15.575,15.6825,15.504,0.45
09 07 2015,15.447,15.657,15.678,15.366,-1.36
09 08 2015,15.268,15.428,15.45,15.252,-1.16
09 09 2015,15.398,15.256,15.466,15.256,0.85
09 10 2015,15.269,15.389,15.407,15.187,-0.84
09 11 2015,15.3425,15.254,15.4955,15.244,0.48
09 14 2015,15.374,15.331,15.439,15.325,0.21
09 15 2015,15.4225,15.374,15.4795,15.341,0.32
09 16 2015,15.459,15.405,15.485,15.343,0.24
09 17 2015,15.5335,15.435,15.6405,15.434,0.48
09 18 2015,15.644,15.529,15.659,15.518,0.71
09 21 2015,15.39,15.625,15.64,15.358,-1.62
