pc_code,pc_description,unit,country_code,country_name,quantity,value,pc_type
O4,"Aircraft,_Spacecraft_And_Parts",Na,11419,U_Arab_Emts,NA,724.470722,Manifacutred_goods
O4,"Aircraft,_Spacecraft_And_Parts",Na,13147,Germany,NA,196.044572,Manifacutred_goods
O4,"Aircraft,_Spacecraft_And_Parts",Na,13421,U_K,NA,159.379561,Manifacutred_goods
O5,Motor_Vehicle/Cars,Nos,5423,U_S_A,143,1.596941,Manifacutred_goods
O5,Motor_Vehicle/Cars,Nos,7171,Guyana,4,0.031776,Manifacutred_goods
O5,Motor_Vehicle/Cars,Nos,10027,Bangladesh_Pr,40397,194.823385,Manifacutred_goods
O5,Motor_Vehicle/Cars,Nos,10077,China_P_Rp,36,3.867585,Manifacutred_goods
O5,Motor_Vehicle/Cars,Nos,10179,Hong_Kong,1,0.324665,Manifacutred_goods
O5,Motor_Vehicle/Cars,Nos,10205,Japan,3749,38.658911,Manifacutred_goods
O5,Motor_Vehicle/Cars,Nos,10217,Korea_Rp,90,2.086994,Manifacutred_goods
O5,Motor_Vehicle/Cars,Nos,10245,Malaysia,50,0.52131,Manifacutred_goods
O5,Motor_Vehicle/Cars,Nos,10273,Nepal,21999,143.22954,Manifacutred_goods
O5,Motor_Vehicle/Cars,Nos,10359,Singapore,93,39.966989,Manifacutred_goods
O5,Motor_Vehicle/Cars,Nos,10437,Vietnam_Soc_Rep,21387,172.339301,Manifacutred_goods
O5,Motor_Vehicle/Cars,Nos,11351,Saudi_Arab,23792,230.646916,Manifacutred_goods
O5,Motor_Vehicle/Cars,Nos,11419,U_Arab_Emts,19066,249.799286,Manifacutred_goods
O5,Motor_Vehicle/Cars,Nos,13147,Germany,9601,117.488822,Manifacutred_goods
O5,Motor_Vehicle/Cars,Nos,13421,U_K,31414,316.380554,Manifacutred_goods
O6,"Railwy_Trnsprt_Equipmnts,_Prts",Na,5423,U_S_A,NA,13.185283,Manifacutred_goods
