,Point.Forecast,Lo.10,Hi.10,date
1170,17.7464956,17.66048819,17.83250301,19-04-2018
1171,17.7464956,17.66022346,17.83276774,20-04-2018
1172,17.7464956,17.65995953,17.83303166,21-04-2018
1173,17.7464956,17.65969641,17.83329478,22-04-2018
1174,17.7464956,17.65943409,17.8335571,23-04-2018
1175,17.7464956,17.65917255,17.83381864,24-04-2018
1176,17.7464956,17.6589118,17.83407939,25-04-2018
1177,17.7464956,17.65865182,17.83433938,26-04-2018
1178,17.7464956,17.6583926,17.83459859,27-04-2018
1179,17.7464956,17.65813415,17.83485704,28-04-2018
1180,17.7464956,17.65787645,17.83511474,29-04-2018
1181,17.7464956,17.6576195,17.8353717,30-04-2018
1182,17.7464956,17.65736329,17.83562791,01-05-2018
1183,17.7464956,17.65710781,17.83588338,02-05-2018
1184,17.7464956,17.65685306,17.83613813,03-05-2018
1185,17.7464956,17.65659903,17.83639216,04-05-2018
1186,17.7464956,17.65634572,17.83664547,05-05-2018
1187,17.7464956,17.65609312,17.83689807,06-05-2018
1188,17.7464956,17.65584122,17.83714997,07-05-2018
1189,17.7464956,17.65559002,17.83740117,08-05-2018
1190,17.7464956,17.65533951,17.83765168,09-05-2018
1191,17.7464956,17.65508969,17.8379015,10-05-2018
1192,17.7464956,17.65484055,17.83815064,11-05-2018
1193,17.7464956,17.65459209,17.83839911,12-05-2018
1194,17.7464956,17.65434429,17.8386469,13-05-2018
1195,17.7464956,17.65409716,17.83889403,14-05-2018
1196,17.7464956,17.65385069,17.8391405,15-05-2018
1197,17.7464956,17.65360487,17.83938632,16-05-2018
1198,17.7464956,17.6533597,17.83963149,17-05-2018
1199,17.7464956,17.65311518,17.83987601,18-05-2018
1200,17.7464956,17.65287129,17.8401199,19-05-2018
1201,17.7464956,17.65262804,17.84036315,20-05-2018
1202,17.7464956,17.65238542,17.84060578,21-05-2018
1203,17.7464956,17.65214342,17.84084778,22-05-2018
1204,17.7464956,17.65190204,17.84108916,23-05-2018
1205,17.7464956,17.65166127,17.84132992,24-05-2018
1206,17.7464956,17.65142111,17.84157008,25-05-2018
1207,17.7464956,17.65118156,17.84180963,26-05-2018
1208,17.7464956,17.65094261,17.84204858,27-05-2018
1209,17.7464956,17.65070426,17.84228694,28-05-2018
1210,17.7464956,17.65046649,17.8425247,29-05-2018
1211,17.7464956,17.65022932,17.84276188,30-05-2018
1212,17.7464956,17.64999272,17.84299847,31-05-2018
1213,17.7464956,17.64975671,17.84323448,01-06-2018
1214,17.7464956,17.64952127,17.84346992,02-06-2018
1215,17.7464956,17.6492864,17.84370479,03-06-2018
1216,17.7464956,17.6490521,17.8439391,04-06-2018
1217,17.7464956,17.64881835,17.84417284,05-06-2018
1218,17.7464956,17.64858517,17.84440602,06-06-2018
1219,17.7464956,17.64835254,17.84463865,07-06-2018
1220,17.7464956,17.64812046,17.84487073,08-06-2018
1221,17.7464956,17.64788893,17.84510227,09-06-2018
1222,17.7464956,17.64765794,17.84533326,10-06-2018
1223,17.7464956,17.64742748,17.84556371,11-06-2018
1224,17.7464956,17.64719757,17.84579363,12-06-2018
1225,17.7464956,17.64696818,17.84602301,13-06-2018
1226,17.7464956,17.64673932,17.84625187,14-06-2018
1227,17.7464956,17.64651099,17.84648021,15-06-2018
1228,17.7464956,17.64628317,17.84670802,16-06-2018
1229,17.7464956,17.64605587,17.84693532,17-06-2018
1230,17.7464956,17.64582909,17.84716211,18-06-2018
