Date,Price,Open,High,Low,Change ,calamities
7 21 2017,64.385,64.385,64.39,64.305,0.02,floods
7 24 2017,64.395,64.415,64.465,64.3,0.02,floods
7 25 2017,64.385,64.355,64.425,64.345,-0.02,floods
7 26 2017,64.355,64.472,64.487,64.355,-0.05,floods
7 27 2017,64.125,64.195,64.218,64.075,-0.36,floods
7 28 2017,64.115,64.195,64.245,64.11,-0.02,floods
7 31 2017,64.2,64.14,64.273,64.075,0.13,floods
08 01 2017,64.095,64.105,64.145,64.045,-0.16,floods
08 02 2017,63.635,64.125,64.135,63.595,-0.72,floods
08 03 2017,63.705,63.645,63.72,63.575,0.11,floods
08 04 2017,63.675,63.721,63.786,63.624,-0.05,floods
08 07 2017,63.84,63.73,63.865,63.668,0.26,floods
08 08 2017,63.692,63.755,63.785,63.62,-0.23,floods
08 09 2017,63.86,63.785,63.86,63.715,0.26,floods
08 10 2017,64.095,63.955,64.115,63.885,0.37,floods
08 11 2017,64.14,64.23,64.27,64.1,0.07,floods
8 14 2017,64.09,63.985,64.148,63.935,-0.08,floods
8 15 2017,64.12,64.11,64.12,64.11,0.05,floods
8 16 2017,64.17,64.275,64.328,64.14,0.08,floods
8 17 2017,64.17,64.17,64.17,64.17,0,floods
8 18 2017,64.095,64.185,64.185,64.082,-0.12,floods
8 21 2017,64.11,64.075,64.157,64.015,0.02,floods
8 22 2017,64.072,64.095,64.15,64.05,-0.06,floods
8 23 2017,64.045,64.045,64.147,64.045,-0.04,floods
8 24 2017,64.045,64.04,64.09,64.005,0,floods
8 25 2017,64.005,64.055,64.065,64.005,-0.06,floods
8 28 2017,63.905,63.89,63.93,63.855,-0.16,floods
8 29 2017,64.015,63.955,64.037,63.925,0.17,floods
8 30 2017,63.99,63.975,64.02,63.875,-0.04,floods
8 31 2017,63.935,64.035,64.06,63.895,-0.09,floods
09 01 2017,64.025,63.925,64.055,63.875,0.14,
09 04 2017,64.04,63.945,64.178,63.935,0.02,
09 05 2017,64.105,64.105,64.162,64.08,0.1,
09 06 2017,64.06,64.105,64.262,64.06,-0.07,
09 07 2017,64.015,64.042,64.055,63.98,-0.07,
09 08 2017,63.785,63.87,63.96,63.78,-0.36,
09 11 2017,63.935,63.905,63.94,63.838,0.24,
09 12 2017,64.031,63.985,64.055,63.935,0.15,
9 13 2017,64.01,63.99,64.05,63.97,-0.03,
9 14 2017,64.123,64.168,64.172,64.062,0.18,
9 15 2017,64.11,64.145,64.145,64.042,-0.02,
9 18 2017,64.158,64.055,64.168,64.002,0.07,
9 19 2017,64.3,64.19,64.35,64.13,0.22,
9 20 2017,64.293,64.245,64.435,64.245,-0.01,
9 21 2017,64.81,64.515,64.855,64.45,0.8,
9 22 2017,64.795,64.805,65.155,64.755,-0.02,
9 25 2017,65.127,64.845,65.175,64.725,0.51,
9 26 2017,65.46,65.245,65.49,65.155,0.51,
9 27 2017,65.715,65.365,65.755,65.345,0.39,
9 28 2017,65.47,65.835,65.9,65.47,-0.37,
9 29 2017,65.31,65.352,65.465,65.235,-0.24,
10 02 2017,65.31,65.31,65.31,65.31,0,
10 03 2017,65.485,65.595,65.638,65.465,0.27,
10 04 2017,65.03,65.345,65.385,64.95,-0.69,
10 05 2017,65.145,65.095,65.195,64.975,0.18,
10 06 2017,65.4,65.2,65.405,65.2,0.39,
10 09 2017,65.355,65.375,65.43,65.275,-0.07,
10 10 2017,65.25,65.355,65.38,65.205,-0.16,
10 11 2017,65.16,65.26,65.325,65.13,-0.14,
10 12 2017,65.06,65.16,65.165,65.035,-0.15,
10 13 2017,64.7,64.955,64.965,64.7,-0.55,
10 16 2017,64.7,64.745,64.77,64.69,0,
10 17 2017,65.03,64.795,65.04,64.795,0.51,
10 18 2017,65.055,64.995,65.17,64.965,0.04,
10 19 2017,64.995,65.033,65.08,64.995,-0.09,
10 20 2017,65.04,65,65.045,64.995,0.07,
10 23 2017,65.022,65.075,65.115,64.98,-0.03,
10 24 2017,65.09,64.98,65.125,64.9,0.1,
10 25 2017,64.925,65.145,65.2,64.885,-0.25,
10 26 2017,64.84,64.785,64.92,64.73,-0.13,
10 27 2017,65.04,65.025,65.11,64.965,0.31,
10 30 2017,64.86,64.89,64.96,64.8,-0.28,
10 31 2017,64.75,64.84,64.85,64.73,-0.17,
11 01 2017,64.565,64.705,64.705,64.51,-0.29,power plant explosion
11 02 2017,64.575,64.535,64.675,64.475,0.02,
11 03 2017,64.56,64.58,64.65,64.52,-0.02,
11 06 2017,64.625,64.665,64.743,64.625,0.1,
11 07 2017,65.145,64.601,65.165,64.592,0.8,
,,,,,,
,Highest:68.909,Lowest:58.265,Difference:10.644,Average:64.351,Change %:5.396,
